snapshot,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
31/07/2035 03:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 04:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 04:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 05:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 05:30,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 06:00,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716,86.205716
31/07/2035 06:30,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371
31/07/2035 07:00,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371
31/07/2035 07:30,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371
31/07/2035 08:00,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371,95.5188371
